treatment	id	game	period	choice	other_choice	session
Control	50	27	6	d	d	contr_1
Control	51	1	1	d	c	contr_1
Control	51	1	2	c	c	contr_1
Control	51	1	3	c	c	contr_1
Control	51	1	4	c	d	contr_1
Control	51	1	5	d	d	contr_1
Control	51	1	6	c	d	contr_1
Control	51	1	7	d	d	contr_1
Control	51	1	8	d	d	contr_1
Control	51	1	9	d	d	contr_1
Control	51	1	10	d	c	contr_1
Control	51	1	11	c	d	contr_1
Control	51	1	12	c	d	contr_1
Control	51	1	13	d	d	contr_1
Control	51	1	14	d	c	contr_1
Control	51	2	1	c	c	contr_1
Control	51	2	2	c	c	contr_1
Control	51	2	3	c	c	contr_1
Control	51	2	4	c	c	contr_1
Control	51	2	5	c	c	contr_1
Control	51	2	6	c	c	contr_1
Control	51	2	7	c	c	contr_1
Control	51	2	8	c	c	contr_1
Control	51	3	1	c	c	contr_1
Control	51	3	2	c	c	contr_1
Control	51	3	3	c	c	contr_1
Control	51	4	1	c	d	contr_1
Control	51	5	1	c	d	contr_1
Control	51	5	2	d	d	contr_1
Control	51	5	3	d	d	contr_1
Control	51	6	1	c	d	contr_1
Control	51	7	1	c	c	contr_1
Control	51	7	2	c	c	contr_1
Control	51	7	3	c	d	contr_1
Control	51	7	4	d	d	contr_1
Control	51	7	5	d	d	contr_1
Control	51	7	6	d	d	contr_1
Control	51	7	7	d	d	contr_1
Control	51	7	8	c	d	contr_1
Control	51	7	9	c	c	contr_1
Control	51	7	10	c	c	contr_1
Control	51	7	11	c	c	contr_1
Control	51	8	1	c	d	contr_1
Control	51	8	2	d	c	contr_1
Control	51	8	3	c	d	contr_1
Control	51	9	1	c	d	contr_1
Control	51	9	2	d	d	contr_1
Control	51	9	3	d	d	contr_1
Control	51	10	1	c	c	contr_1
Control	51	11	1	c	d	contr_1
Control	51	12	1	c	d	contr_1
Control	51	12	2	d	d	contr_1
Control	51	13	1	d	d	contr_1
Control	51	13	2	d	d	contr_1
Control	51	14	1	c	d	contr_1
Control	51	14	2	d	d	contr_1
Control	51	14	3	d	c	contr_1
Control	51	14	4	c	d	contr_1
Control	51	15	1	c	c	contr_1
Control	51	16	1	c	c	contr_1
Control	51	16	2	c	c	contr_1
Control	51	16	3	c	c	contr_1
Control	51	16	4	c	c	contr_1
Control	51	17	1	c	d	contr_1
Control	51	17	2	d	d	contr_1
Control	51	17	3	d	d	contr_1
Control	51	17	4	d	d	contr_1
Control	51	17	5	d	c	contr_1
Control	51	17	6	d	d	contr_1
Control	51	17	7	d	d	contr_1
Control	51	17	8	d	d	contr_1
Control	51	17	9	c	d	contr_1
Control	51	17	10	c	d	contr_1
Control	51	17	11	d	c	contr_1
Control	51	18	1	c	d	contr_1
Control	51	19	1	c	d	contr_1
Control	51	19	2	d	c	contr_1
Control	51	19	3	c	c	contr_1
Control	51	19	4	c	c	contr_1
Control	51	20	1	c	d	contr_1
Control	51	21	1	c	d	contr_1
Control	51	21	2	d	d	contr_1
Control	51	22	1	d	d	contr_1
Control	51	22	2	d	d	contr_1
Control	51	22	3	d	d	contr_1
Control	51	22	4	d	c	contr_1
Control	51	22	5	c	d	contr_1
Control	51	23	1	c	d	contr_1
Control	51	23	2	d	c	contr_1
Control	51	23	3	c	c	contr_1
Control	51	24	1	c	d	contr_1
Control	51	24	2	d	d	contr_1
Control	51	24	3	d	d	contr_1
Control	51	24	4	d	d	contr_1
Control	51	24	5	d	d	contr_1
Control	51	24	6	d	d	contr_1
Control	51	25	1	d	d	contr_1
Control	51	25	2	d	d	contr_1
Control	51	25	3	d	d	contr_1
Control	51	25	4	d	d	contr_1
Control	51	25	5	c	d	contr_1
Control	51	26	1	c	d	contr_1
Control	51	27	1	d	d	contr_1
Control	51	27	2	c	d	contr_1
Control	51	27	3	d	c	contr_1
Control	51	27	4	c	c	contr_1
